Boston Celtics,Brooklyn Nets,Atlanta Hawks,Washington Wizards,Charlotte Hornets,Orlando Magic,Miami Heat,Golden State Warriors,Los Angeles Clippers,Sacremento Kings,Phoenix Suns,Los Angeles Lakers,San Antonio Spurs,Memphis Grizzlies,Houston Rockets,Dallas Mavericks,New Orleans Pelicans,Utah Jazz,Portland Trail Blazers,Oklahoma City Thunder,Minnesota Timberwolves,Denver Nuggets,Philadelphia 76ers,Toronto Raptors,New York Knicks,Cleveland Cavaliers,Detroit Pistons,Indiana Pacers,Milwaukee Bucks,Chicago Bulls
Shawn Kemp,Oklahoma City Thunder,18.7,10,1.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Shawn Respert,Toronto Raptors,4.2,1,1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Shawnelle Scott,Cleveland Cavaliers,1.3,1,0,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Sherman Douglas,Milwaukee Bucks,9.7,2.4,5.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Stacey Augmon,Portland Trail Blazers,4.7,2.3,0.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Stacey King,Dallas Mavericks,2.2,2.5,0.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Stanley Roberts,Los Angeles Clippers,9.5,5.1,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Howard,Utah Jazz,3.6,1.7,0.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Sharone Wright,Toronto Raptors,6.5,3.1,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Sasha Danilovic,Dallas Mavericks,12.5,2.4,1.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Sarunas Marciulionis,Denver Nuggets,6.8,1.8,1.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Samaki Walker,Dallas Mavericks,4.9,3.4,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Rex Walters,Philadelphia 76ers,6.8,1.8,1.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Richard Manning,Los Angeles Clippers,2.9,1.5,0.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Rick Fox,Boston Celtics,15.4,5.2,3.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Rick Mahorn,Detroit Pistons,2.5,2.4,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Pierce,Charlotte Hornets,11,2,1.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Rik Smits,Indiana Pacers,17.1,6.9,1.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Robert Horry,Los Angeles Lakers,7.8,4.4,2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Robert Pack,Dallas Mavericks,14.3,2.7,8.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Robert Parish,Chicago Bulls,3.7,2.1,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Robert Werdann,Brooklyn Nets,1.5,1,0,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Rod Strickland,Washington Wizards,17.2,4.1,8.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Rodney Rogers,Los Angeles Clippers,13.2,5.1,2.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Ron Harper,Chicago Bulls,6.3,2.5,2.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Rony Seikaly,Orlando Magic,17.3,9.5,1.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Roy Rogers,Memphis Grizzlies,6.6,4.7,0.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Ruben Nembhard,Portland Trail Blazers,4,0.8,1.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Rumeal Robinson,Portland Trail Blazers,3.3,0.9,1.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Sam Cassell,Brooklyn Nets,15.9,3,5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Sam Mack,Houston Rockets,5.6,2,1.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Sam Mitchell,Minnesota Timberwolves,9.3,4,1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Sam Perkins,Oklahoma City Thunder,11,3.7,1.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Stephon Marbury,Minnesota Timberwolves,15.8,2.7,7.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Rex Chapman,Phoenix Suns,13.8,2.8,2.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Steve Hamer,Boston Celtics,2.2,1.7,0.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Steve Nash,Phoenix Suns,3.3,1,2.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Willie Anderson,Miami Heat,3,1.5,1.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Will Perdue,San Antonio Spurs,8.7,9.8,0.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Person,Phoenix Suns,13.5,3.7,1.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Wayman Tisdale,Phoenix Suns,6.5,2.3,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Walter McCarty,New York Knicks,1.8,0.7,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Walt Williams,Toronto Raptors,16.4,5,2.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Voshon Lenard,Miami Heat,12.3,3,2.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Vlade Divac,Charlotte Hornets,12.6,9,3.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Vitaly Potapenko,Cleveland Cavaliers,5.8,2.7,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Willie Burton,Atlanta Hawks,6.2,1.7,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Vinny Del Negro,San Antonio Spurs,12.3,2.9,3.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Vin Baker,Milwaukee Bucks,21,10.3,2.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Vernon Maxwell,San Antonio Spurs,12.9,2.2,2.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Tyus Edney,Sacramento Kings,6.9,1.6,3.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Tyrone Hill,Cleveland Cavaliers,12.9,9.9,1.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Tyrone Corbin,Atlanta Hawks,9.5,4.2,1.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Travis Knight,Los Angeles Lakers,4.8,4.5,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Travis Best,Indiana Pacers,9.9,2.2,4.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Tracy Murray,Washington Wizards,10,3.1,1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Tracy Moore,Houston Rockets,3.7,1,0.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Vincent Askew,Denver Nuggets,5.6,2.3,2.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Xavier McDaniel,Brooklyn Nets,5.6,5.1,1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Yinka Dare,Brooklyn Nets,1.4,2,0.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Zan Tabak,Toronto Raptors,6.5,3.8,1.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Steve Scheffler,Oklahoma City Thunder,1.6,0.4,0,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Steven Smith,Atlanta Hawks,20.1,3.3,4.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Stevin Smith,Dallas Mavericks,1.8,1.3,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Stojko Vrankovic,Minnesota Timberwolves,3.4,3.2,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Terrell Brandon,Cleveland Cavaliers,19.5,3.9,6.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Terry Cummings,Oklahoma City Thunder,8.2,4.1,0.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Terry Dehere,Los Angeles Clippers,6.4,1.3,2.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Terry Mills,Detroit Pistons,10.8,4.8,1.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Terry Porter,Minnesota Timberwolves,6.9,2.1,3.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Theo Ratliff,Detroit Pistons,5.8,3.4,0.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Tim Hardaway,Miami Heat,20.3,3.4,8.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Tim Kempton,San Antonio Spurs,0.4,0.8,0.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Tim Legler,Washington Wizards,2.9,1.4,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Todd Day,Boston Celtics,14.5,4.1,1.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Todd Fuller,Golden State Warriors,4,3.3,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Tom Chambers,Charlotte Hornets,1.6,1.2,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Tom Gugliotta,Minnesota Timberwolves,20.6,8.7,4.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Tom Hammonds,Denver Nuggets,6.2,5,0.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Toni Kukoc,Chicago Bulls,13.2,4.6,4.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Tony Delk,Charlotte Hornets,5.4,1.6,1.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Tony Dumas,Phoenix Suns,3.6,0.7,1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Steve Kerr,Chicago Bulls,8.1,1.6,2.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Williams,Brooklyn Nets,5.8,2.4,0.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Slater,Toronto Raptors,7.8,3.7,0.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Miller,Indiana Pacers,21.6,3.5,3.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Hunter,Detroit Pistons,14.2,2.8,1.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Simmons,Sacramento Kings,3.4,2.5,1.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Litterial Green,Detroit Pistons,2,0.5,0.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Tony Smith,Charlotte Hornets,5,1.4,2.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Loren Meyer,Phoenix Suns,4.9,2.7,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Lorenzen Wright,Los Angeles Clippers,7.3,6.1,0.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Lorenzo Williams,Washington Wizards,2.4,3.6,0.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Lou Roe,Golden State Warriors,2.4,0.8,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Loy Vaught,Los Angeles Clippers,14.9,10,1.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Lee Mayberry,Memphis Grizzlies,5.1,1.7,4.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Luc Longley,Chicago Bulls,9.1,5.6,2.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Mahmoud Abdul-Rauf,Sacramento Kings,13.7,1.6,2.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Malik Rose,Charlotte Hornets,3,3,0.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Malik Sealy,Los Angeles Clippers,13.5,3,2.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Brown,Portland Trail Blazers,3.9,0.7,1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Camby,Toronto Raptors,14.8,6.3,1.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Mario Elie,Houston Rockets,11.7,3,4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Mark Bradtke,Philadelphia 76ers,1.6,1.9,0.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Mark Bryant,Phoenix Suns,9.3,5.2,1.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Mark Davis,Philadelphia 76ers,8.5,4.3,1.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Lucious Harris,Philadelphia 76ers,5.4,1.3,0.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence Moten,Memphis Grizzlies,6.7,1.8,1.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Latrell Sprewell,Golden State Warriors,24.2,4.6,6.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Larry Stewart,Oklahoma City Thunder,4.3,2.4,0.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Keith Tower,Milwaukee Bucks,1.4,1.8,0.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Ken Norman,Atlanta Hawks,3.8,2.3,0.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Kendall Gill,Brooklyn Nets,21.8,6.1,4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Anderson,Portland Trail Blazers,17.5,4.4,7.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Smith,Denver Nuggets,6.3,0.9,2.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Kerry Kittles,Brooklyn Nets,16.4,3.9,3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Duckworth,Los Angeles Clippers,4,2.3,0.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Edwards,Brooklyn Nets,5.9,1.3,1.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Gamble,Sacramento Kings,5,1.7,1.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Garnett,Minnesota Timberwolves,17,8,3.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Johnson,Phoenix Suns,20.1,3.6,9.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Salvadori,Sacramento Kings,1.6,1.1,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Willis,Houston Rockets,11.2,7.5,0.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Khalid Reeves,Dallas Mavericks,8.2,1.9,3.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,Los Angeles Lakers,7.6,1.9,1.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Kurt Thomas,Miami Heat,6.3,5.9,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
LaPhonso Ellis,Denver Nuggets,21.9,7,2.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
LaSalle Thompson,Indiana Pacers,0.4,1.3,0.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Lamond Murray,Los Angeles Clippers,7.4,3.1,0.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Larry Johnson,New York Knicks,12.8,5.2,2.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Larry Krystkowiak,Los Angeles Lakers,1,1.7,1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Mark Hendrickson,Philadelphia 76ers,2.9,3.2,0.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Mark Jackson,Indiana Pacers,9.9,4.8,11.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Mark Price,Golden State Warriors,11.3,2.6,4.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Mark Strickland,Miami Heat,2,1.2,0,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Nick Anderson,Orlando Magic,12,4.8,2.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Nick Van Exel,Los Angeles Lakers,15.3,2.9,8.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Olden Polynice,Sacramento Kings,12.5,9.4,2.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Miller,Toronto Raptors,4.8,5,1.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Othella Harrington,Houston Rockets,4.8,3.5,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Otis Thorpe,Detroit Pistons,13.1,7.9,1.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
P.J. Brown,Miami Heat,9.5,8.4,1.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Ewing,New York Knicks,22.4,10.7,2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Pervis Ellison,Boston Celtics,2.5,4.3,0.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Pete Chilcutt,Memphis Grizzlies,3.4,2.9,0.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Pooh Richardson,Los Angeles Clippers,5.6,1.7,2.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Popeye Jones,Toronto Raptors,7.8,8.6,1.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Priest Lauderdale,Atlanta Hawks,3.2,1.2,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Addison,Charlotte Hornets,3.1,1.1,0.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Randolph Childress,Detroit Pistons,1.7,0.3,0.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Randy Brown,Chicago Bulls,4.7,1.5,1.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Rasheed Wallace,Portland Trail Blazers,15.1,6.8,1.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Ray Allen,Milwaukee Bucks,13.4,4,2.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Ray Owes,Golden State Warriors,3.1,2.9,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Geary,Cleveland Cavaliers,1.5,0.4,0.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Jordan,Minnesota Timberwolves,2.1,1.4,0.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Nate McMillan,Oklahoma City Thunder,4.6,3.2,3.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Karl Malone,Utah Jazz,27.4,9.9,4.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Nate Driggers,Boston Celtics,2.4,1.5,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Mookie Blaylock,Atlanta Hawks,17.4,5.3,5.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Mark West,Cleveland Cavaliers,3.2,2.7,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Martin Lewis,Toronto Raptors,1.6,0.7,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Martin Muursepp,Dallas Mavericks,3.7,1.6,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Marty Conlon,Boston Celtics,7.8,4.4,1.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Matt Bullard,Houston Rockets,4.5,1.6,0.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Matt Fish,Miami Heat,0.3,0.8,0,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Matt Geiger,Charlotte Hornets,8.9,5.3,0.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Matt Maloney,Houston Rockets,9.4,2,3.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Matt Steigenga,Chicago Bulls,1.5,1.5,1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Melvin Booker,Golden State Warriors,5.8,1.4,2.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Michael Cage,Philadelphia 76ers,1.8,3.9,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Michael Curry,Detroit Pistons,3.9,1.5,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Michael Finley,Dallas Mavericks,15,4.5,2.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Michael Hawkins,Boston Celtics,2.8,1.1,2.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Michael Jordan,Chicago Bulls,29.6,5.9,4.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Michael Smith,Sacramento Kings,6.5,9.5,2.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Mike Brown,Phoenix Suns,2.7,4.2,0.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Mitch Richmond,Sacramento Kings,25.9,3.9,4.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Butler,Portland Trail Blazers,3,1.1,0.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Monty Williams,San Antonio Spurs,9,3.2,1.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Moochie Norris,Memphis Grizzlies,1.5,1.5,2.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Muggsy Bogues,Charlotte Hornets,8,2.2,7.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Brent Scott,Indiana Pacers,1.2,0.6,0.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Lloyd Daniels,Brooklyn Nets,4.5,2,1.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Tony Massenburg,Brooklyn Nets,7.2,6.5,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Antonio McDyess,Denver Nuggets,18.3,7.3,1.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Armen Gilliam,Milwaukee Bucks,8.6,6.2,0.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Arvydas Sabonis,Portland Trail Blazers,13.4,7.9,2.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Ashraf Amaya,Washington Wizards,1.3,1.7,0.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Avery Johnson,San Antonio Spurs,10.5,1.9,6.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
B.J. Armstrong,Golden State Warriors,7.9,1.5,2.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Ben Davis,Phoenix Suns,1.5,1.4,0,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Ben Wallace,Washington Wizards,1.1,1.7,0.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Benoit Benjamin,Toronto Raptors,3.3,2.3,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Lang,Cleveland Cavaliers,2.7,2,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Bill Wennington,Chicago Bulls,4.6,2.1,0.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Bimbo Coles,Golden State Warriors,6.1,2.3,2.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Bison Dele,Chicago Bulls,7,3.7,1.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Blue Edwards,Memphis Grizzlies,7.8,3.1,1.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Bo Outlaw,Los Angeles Clippers,7.6,5.5,1.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Bob Sura,Cleveland Cavaliers,9.2,3.8,4.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Hurley,Sacramento Kings,2.9,0.8,3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Phills,Cleveland Cavaliers,12.6,3.6,3.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Brad Lohaus,Toronto Raptors,1.7,1.2,0.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Brent Price,Houston Rockets,5,1.2,2.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Billy Owens,Sacramento Kings,11,5.9,2.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Harvey,Oklahoma City Thunder,2.5,1.7,0.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Brent Barry,Los Angeles Clippers,7.5,1.9,2.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Antoine Walker,Boston Celtics,17.5,9,3.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
A.C. Green,Dallas Mavericks,7.2,7.9,0.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Aaron McKie,Detroit Pistons,5.2,2.7,1.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Williams,Memphis Grizzlies,6.2,4.3,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Acie Earl,Milwaukee Bucks,4,2,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Adam Keefe,Utah Jazz,3.8,3.5,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Adrian Caldwell,Philadelphia 76ers,2.2,3.7,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Davis,Indiana Pacers,10.5,7.3,0.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Djordjevic,Portland Trail Blazers,3.1,0.6,0.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Allan Houston,New York Knicks,14.8,3,2.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Allen Iverson,Philadelphia 76ers,23.5,4.1,7.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Alan Henderson,Atlanta Hawks,6.6,3.9,0.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Alton Lister,Boston Celtics,1.6,3.2,0.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Antoine Carr,Utah Jazz,7.4,2.4,0.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Alonzo Mourning,Miami Heat,19.8,9.9,1.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Miller,Atlanta Hawks,0,7,0,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Mason,Charlotte Hornets,16.2,11.4,5.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Goldwire,Denver Nuggets,6.5,1.4,3.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Peeler,Memphis Grizzlies,14.5,3.4,3.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Lang,Milwaukee Bucks,5.3,5.3,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Andrew DeClercq,Golden State Warriors,5.3,4.2,0.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Amal McCaskill,Orlando Magic,1.6,1.3,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Anfernee Hardaway,Orlando Magic,20.5,4.5,5.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Nick Van Exel,Los Angeles Lakers,13.8,3,6.9,1997-98,,,,,,,,,,,,,,,,,,,,,,,,
Nick Anderson,Orlando Magic,15.3,5.1,2.1,1997-98,,,,,,,,,,,,,,,,,,,,,,,,
Nate McMillan,Oklahoma City Thunder,3.4,2.2,3.1,1997-98,,,,,,,,,,,,,,,,,,,,,,,,
